cid,amount_requested,Age_at_application,Young,Scenior,Resi_status,monthly_rent_amount,Direct_deposit_flag,Vintage,loan_duration,Payment_Ach_Flag,num_payments,Amount_per_payment,Payment_frequency,payment_amount,amount_approved,Remaining Balance,Unapproved_amount,duration_approved,Unapproved_duration,Unhappy_approve,area1,area2,area3,Housing_turnover,bank_old_customer_flag,monthly_income_amount,Debt to Income Ratio,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,how_use_money,other_iuse,bills_use,car_use,rent_use,school_use,overdraft_use,medical_use
9ece67d6c5,500,19,1,0,1,0,1,2010,3,1,6,83.33333333,2,138.48,500,361.52,0,3,0,0,1,0,0,0,0,1560,0.320512821,614,574,600,656,561,Other,1,0,0,0,0,0,0
5c2c402094,500,20,1,0,1,0,0,2010,6,1,13,38.46153846,2.166666667,77.39,500,422.61,0,6,0,0,1,0,0,1,1,900,0.555555556,708,501,550,651,563,Other,1,0,0,0,0,0,0
e6254cad30,400,30,0,0,1,620,1,2010,6,1,13,30.76923077,2.166666667,61.91,400,338.09,0,6,0,0,1,0,0,0,0,1434,0.278940028,687,522,561,661,598,Other,1,0,0,0,0,0,0
49fb42f51d,500,34,0,0,0,785,0,2010,4,1,8,62.5,2,108.48,500,391.52,0,4,0,0,1,0,0,1,0,1600,0.3125,616,560,552,634,591,Other,1,0,0,0,0,0,0
195fbe5739,300,30,0,0,1,700,1,2010,4,1,8,37.5,2,65.09,300,234.91,0,4,0,0,1,0,0,1,0,1360,0.220588235,681,603,654,659,636,Other,1,0,0,0,0,0,0
b5286ff5b4,400,33,0,0,0,1600,1,2010,4,1,4,100,1,107.61,400,292.39,0,4,0,0,1,0,0,0,0,4900,0.081632653,716,573,571,680,620,Other,1,0,0,0,0,0,0
d06841c8cf,300,50,0,0,1,865,1,2010,4,1,4,75,1,136.6,300,163.4,0,4,0,0,1,0,0,1,0,3200,0.09375,486,580,627,659,627,Other,1,0,0,0,0,0,0
90e4cdc381,500,51,0,0,1,1000,1,2010,2,1,4,125,2,129.35,500,370.65,0,2,0,0,1,0,0,0,0,2200,0.227272727,530,537,508,551,583,Other,1,0,0,0,0,0,0
c1a1065b7a,400,49,0,0,1,169,1,2010,4,1,4,100,1,182.14,400,217.86,0,4,0,0,1,0,0,1,0,1200,0.333333333,645,532,560,680,594,Other,1,0,0,0,0,0,0
0dba6b011d,500,27,0,0,1,1265,1,2010,6,1,13,38.46153846,2.166666667,77.39,500,422.61,0,6,0,0,1,0,0,0,0,4160,0.120192308,586,527,525,637,592,Other,1,0,0,0,0,0,0
96acbba7ed,400,62,0,1,0,1175,1,2010,4,1,8,50,2,86.79,400,313.21,0,4,0,0,1,0,0,1,1,5326,0.075103267,564,526,547,677,598,Other,1,0,0,0,0,0,0
289421d82a,500,21,1,0,0,0,1,2010,6,1,12,41.66666667,2,84.03,500,415.97,0,6,0,0,1,0,0,1,0,2200,0.227272727,663,501,501,623,531,Other,1,0,0,0,0,0,0
757f469cbe,500,18,1,0,1,720,1,2010,4,1,17,29.41176471,4.25,51.17,500,448.83,0,4,0,0,1,0,0,0,0,2400,0.208333333,523,501,501,501,501,Other,1,0,0,0,0,0,0
ae03151fee,500,30,0,0,1,190,1,2010,6,1,13,38.46153846,2.166666667,77.39,500,422.61,0,6,0,0,1,0,0,0,0,1200,0.416666667,712,585,663,711,603,Other,1,0,0,0,0,0,0
4ad5645ab4,400,25,0,0,1,0,0,2010,4,1,17,23.52941176,4.25,40.93,400,359.07,0,4,0,0,1,0,0,1,0,1920,0.208333333,765,654,675,728,625,Other,1,0,0,0,0,0,0
1d5ef602c4,250,23,1,0,1,860,0,2010,4,1,8,31.25,2,54.24,250,195.76,0,4,0,0,1,0,0,0,0,1200,0.208333333,252,501,535,628,544,Other,1,0,0,0,0,0,0
c4031886fc,400,22,1,0,1,300,1,2010,6,1,12,33.33333333,2,67.22,400,332.78,0,6,0,0,1,0,0,0,1,1160,0.344827586,734,614,642,693,583,Other,1,0,0,0,0,0,0
6a0eee2c2f,500,28,0,0,1,750,1,2010,6,1,13,38.46153846,2.166666667,77.39,500,422.61,0,6,0,0,1,0,0,1,1,9000,0.055555556,537,592,644,667,630,Other,1,0,0,0,0,0,0
a91c516d95,500,28,0,0,1,650,1,2010,6,1,13,38.46153846,2.166666667,77.39,500,422.61,0,6,0,0,1,0,0,0,0,600,0.833333333,645,501,501,649,557,Other,1,0,0,0,0,0,0
f0ad440808,500,37,0,0,1,635,1,2010,6,1,26,19.23076923,4.333333333,38.26,500,461.74,0,6,0,0,1,0,0,1,1,3600,0.138888889,557,525,538,648,599,Other,1,0,0,0,0,0,0
b4f2e3f3a3,800,32,0,0,1,889,1,2010,6,1,12,66.66666667,2,84.03,500,415.97,-300,6,0,1,1,0,0,1,1,2580,0.19379845,602,559,606,652,606,Other,1,0,0,0,0,0,0
f51a0a7f1e,300,30,0,0,1,0,1,2010,6,1,13,23.07692308,2.166666667,46.43,300,253.57,0,6,0,0,1,0,0,1,0,429,0.699300699,616,501,555,622,587,Other,1,0,0,0,0,0,0
16ae98338a,500,29,0,0,1,650,1,2010,6,1,12,41.66666667,2,84.03,500,415.97,0,6,0,0,1,0,0,0,1,4500,0.111111111,716,524,540,664,580,Other,1,0,0,0,0,0,0
b65c5bf553,800,30,0,0,1,700,1,2010,8,1,13,61.53846154,1.625,77.39,500,422.61,-300,6,2,1,1,0,0,0,1,4200,0.119047619,530,573,600,596,600,Other,1,0,0,0,0,0,0
2345f147a8,800,34,0,0,0,0,1,2010,7,1,15,53.33333333,2.142857143,113.56,800,686.44,0,7,0,0,1,0,0,0,1,1200,0.666666667,733,518,550,614,575,Other,1,0,0,0,0,0,0
ae74ebdb3a,500,51,0,0,1,1100,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,0,1,3007,0.166278683,771,570,560,680,611,Other,1,0,0,0,0,0,0
e55a9a7293,700,48,0,0,1,750,1,2010,5,1,10,70,2,129.04,700,570.96,0,5,0,0,1,0,0,1,0,5260,0.133079848,645,556,556,669,604,Other,1,0,0,0,0,0,0
790388f19a,500,42,0,0,1,0,1,2010,5,1,10,50,2,94.7,500,405.3,0,5,0,0,1,0,0,0,0,2400,0.208333333,544,611,609,680,617,Other,1,0,0,0,0,0,0
d8583e2e58,500,35,0,0,1,0,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,0,1200,0.416666667,638,534,549,618,560,Other,1,0,0,0,0,0,0
161bfb5807,500,36,0,0,1,89,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,1,1120,0.446428571,762,543,563,639,598,Other,1,0,0,0,0,0,0
59c2cf163e,500,63,0,1,1,800,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,1,1,2100,0.238095238,661,535,576,676,593,Other,1,0,0,0,0,0,0
7d724fba2a,500,45,0,0,1,400,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,0,1,1100,0.454545455,716,517,520,605,564,Other,1,0,0,0,0,0,0
cc53bd5220,600,43,0,0,1,220,1,2010,5,1,10,60,2,110.61,600,489.39,0,5,0,0,1,0,0,1,1,4000,0.15,765,542,580,671,620,Other,1,0,0,0,0,0,0
213c714e9f,300,50,0,0,0,1143,1,2010,3,1,13,23.07692308,4.333333333,37.73,300,262.27,0,3,0,0,1,0,0,1,0,3652,0.082146769,586,580,569,680,627,Other,1,0,0,0,0,0,0
cfe9e0dc5e,800,49,0,0,0,891,1,2010,5,1,5,160,1,193.91,500,306.09,-300,5,0,1,1,0,0,1,1,1500,0.333333333,600,622,659,698,656,Other,1,0,0,0,0,0,0
f6bdc68cf8,500,24,1,0,1,0,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,0,2400,0.208333333,541,531,547,680,582,Other,1,0,0,0,0,0,0
